"ST_CASE","PERSONS","FATALS","ROUTE","MAN_COLL","LGT_COND","WEATHERlight","BODY_TYP","AGE","INJ_SEV","DRINKING","TRAV_SP","L_TYPE","VSPD_LIM","fata_rate"
122317,2,1,"highway","front","light","light","LORRY",70,"injured","NO",55,"Licensed",55,50.00
122323,5,2,"LOCAL","front","dark","light","small",29,"injured","Yes",75,"Licensed",55,40.00
122324,7,1,"LOCAL","front","light","light","small",39,"injured","NO",50,"Licensed",50,14.29
122337,3,1,"highway","front","light","light","small",19,"injured","NO",55,"Licensed",45,33.33
122339,2,1,"LOCAL","front","dark","light","small",46,"dead","NO",75,"Licensed",55,50.00
122348,2,1,"LOCAL","front","dark","light","small",36,"injured","NO",62,"Licensed",45,50.00
122350,2,1,"LOCAL","front","dark","light","small",21,"injured","NO",55,"Licensed",55,50.00
122352,3,2,"LOCAL","front","light","light","small",85,"dead","NO",30,"Licensed",45,66.67
122370,6,2,"LOCAL","front","light","light","small",70,"dead","NO",50,"Licensed",55,33.33
122373,2,1,"LOCAL","front","light","light","small",17,"injured","NO",45,"Licensed",45,50.00
122379,3,3,"highway","front","dark","light","small",25,"dead","NO",100,"Licensed",35,100.00
122392,13,1,"LOCAL","front","light","light","small",26,"injured","NO",80,"Licensed",45,7.69
122401,2,1,"LOCAL","front","light","light","small",77,"dead","NO",45,"Licensed",50,50.00
122408,3,1,"highway","front","light","light","small",21,"injured","NO",40,"Licensed",35,33.33
122412,2,1,"LOCAL","front","dark","light","small",39,"dead","Yes",80,"Licensed",70,50.00
122428,2,2,"LOCAL","front","light","light","small",29,"dead","NO",60,"Licensed",60,100.00
122439,3,2,"LOCAL","front","light","light","small",39,"dead","NO",60,"Licensed",60,66.67
122443,2,1,"highway","front","dark","light","small",45,"injured","NO",50,"Licensed",45,50.00
122449,2,1,"highway","front","light","light","LORRY",17,"dead","NO",59,"Licensed",50,50.00
122450,2,1,"LOCAL","front","dark","light","small",27,"injured","NO",100,"Licensed",70,50.00
122466,3,1,"LOCAL","front","light","light","small",42,"injured","NO",70,"Licensed",70,33.33
122472,3,1,"LOCAL","front","light","light","small",65,"injured","NO",5,"Licensed",45,33.33
122475,2,1,"highway","front","light","light","small",35,"injured","NO",45,"Licensed",45,50.00
122480,4,1,"highway","front","dark","light","small",78,"injured","NO",55,"Licensed",55,25.00
122489,4,1,"LOCAL","front","dark","light","small",24,"injured","Yes",60,"Licensed",60,25.00
122508,2,1,"highway","front","light","light","small",65,"injured","Yes",50,"Licensed",50,50.00
122509,10,5,"LOCAL","front","dark","light","small",22,"dead","NO",90,"Licensed",50,50.00
122510,4,1,"LOCAL","front","dark","light","small",40,"injured","NO",25,"Licensed",45,25.00
122511,12,1,"LOCAL","front","light","light","small",47,"injured","NO",87,"Licensed",55,8.33
122513,2,1,"LOCAL","front","dark","light","small",29,"dead","Yes",40,"Licensed",40,50.00
122516,2,1,"LOCAL","front","dark","light","small",34,"dead","Yes",55,"Licensed",55,50.00
122520,4,2,"LOCAL","front","dark","light","small",19,"injured","NO",60,"Licensed",60,50.00
122525,2,1,"LOCAL","front","dark","light","LORRY",26,"dead","Yes",45,"Licensed",45,50.00
122529,2,1,"LOCAL","front","dark","light","small",47,"dead","NO",70,"Licensed",70,50.00
122534,9,2,"LOCAL","front","light","light","small",62,"dead","Yes",65,"Licensed",65,22.22
122542,3,1,"LOCAL","front","light","light","LORRY",77,"dead","NO",50,"Licensed",55,33.33
122572,4,2,"LOCAL","front","light","light","small",48,"dead","NO",55,"Licensed",55,50.00
122578,2,1,"highway","front","light","light","LORRY",39,"dead","NO",20,"Licensed",30,50.00
122581,4,1,"LOCAL","side","dark","light","LORRY",55,"injured","NO",15,"Licensed",45,25.00
122583,3,1,"LOCAL","front","light","light","LORRY",50,"injured","NO",70,"Licensed",70,33.33
122589,3,1,"LOCAL","front","dark","light","small",93,"dead","NO",60,"Licensed",70,33.33
122596,3,1,"LOCAL","front","light","light","small",39,"injured","NO",65,"Licensed",65,33.33
122603,3,1,"LOCAL","front","dark","light","small",57,"injured","NO",40,"Licensed",40,33.33
122605,3,1,"LOCAL","side","dark","light","small",46,"dead","NO",45,"Licensed",45,33.33
122606,2,1,"highway","front","dark","light","small",61,"injured","NO",15,"Licensed",45,50.00
122633,3,1,"LOCAL","front","light","light","small",19,"injured","NO",50,"Licensed",50,33.33
122636,10,1,"highway","front","dark","light","small",33,"dead","NO",45,"Licensed",45,10.00
122639,4,1,"LOCAL","front","light","light","small",63,"injured","NO",65,"Licensed",60,25.00
122641,2,1,"LOCAL","front","dark","light","LORRY",40,"dead","Yes",75,"Licensed",70,50.00
122646,2,1,"LOCAL","front","dark","light","LORRY",44,"injured","NO",70,"Licensed",70,50.00
122649,4,1,"highway","front","light","mod","small",23,"injured","NO",55,"Licensed",55,25.00
122655,3,1,"LOCAL","front","dark","light","small",37,"dead","Yes",50,"Licensed",60,33.33
122658,2,1,"LOCAL","front","dark","light","small",77,"injured","NO",50,"Licensed",55,50.00
122664,2,1,"LOCAL","front","dark","light","LORRY",66,"dead","Yes",45,"Licensed",45,50.00
122665,4,1,"highway","front","light","light","small",27,"injured","NO",25,"Licensed",30,25.00
122667,2,1,"LOCAL","front","light","light","LORRY",57,"injured","NO",60,"Licensed",60,50.00
122680,6,1,"LOCAL","front","light","light","small",20,"injured","NO",45,"Licensed",45,16.67
122690,3,1,"LOCAL","front","dark","light","small",26,"dead","NO",60,"Licensed",45,33.33
122697,5,1,"LOCAL","side","dark","light","small",73,"injured","NO",15,"Licensed",45,20.00
122701,2,1,"LOCAL","front","light","light","LORRY",23,"dead","NO",50,"Licensed",50,50.00
122703,2,1,"highway","front","dark","light","LORRY",43,"dead","NO",55,"Licensed",45,50.00
122722,3,1,"LOCAL","front","light","light","small",18,"injured","NO",55,"Licensed",45,33.33
122728,4,1,"LOCAL","front","dark","light","LORRY",47,"dead","NO",35,"Licensed",65,25.00
122737,2,1,"highway","front","light","light","small",77,"dead","NO",30,"Licensed",35,50.00
122746,3,1,"LOCAL","front","dark","light","small",29,"injured","Yes",70,"Licensed",70,33.33
122750,2,1,"LOCAL","front","dark","light","LORRY",34,"injured","NO",65,"Licensed",65,50.00
122751,2,1,"highway","front","light","light","small",65,"dead","Yes",30,"Licensed",40,50.00
122754,2,1,"LOCAL","front","dark","light","small",89,"dead","NO",55,"Licensed",55,50.00
122769,3,1,"highway","front","dark","light","LORRY",20,"dead","Yes",5,"No Lic",45,33.33
122776,3,2,"LOCAL","front","dark","light","small",30,"injured","Yes",96,"Licensed",70,66.67
122781,4,1,"highway","front","light","light","small",16,"injured","Yes",45,"Licensed",45,25.00
122782,5,1,"LOCAL","side","dark","light","small",28,"injured","Yes",70,"Licensed",70,20.00
122786,2,1,"highway","front","dark","light","small",24,"injured","NO",40,"Licensed",40,50.00
122795,3,1,"LOCAL","front","dark","mod","small",61,"dead","NO",25,"Licensed",70,33.33
122797,2,1,"highway","front","light","light","small",73,"dead","Yes",45,"Licensed",55,50.00
122806,2,1,"LOCAL","front","dark","mod","small",21,"injured","Yes",55,"Licensed",60,50.00
122808,5,1,"LOCAL","front","dark","light","small",74,"dead","NO",50,"Licensed",50,20.00
122813,3,1,"LOCAL","front","dark","light","small",16,"dead","Yes",70,"Licensed",70,33.33
122819,5,1,"LOCAL","front","light","light","small",50,"injured","NO",45,"No Lic",35,20.00
122822,2,1,"LOCAL","front","dark","light","small",86,"injured","NO",45,"Licensed",45,50.00
122843,3,1,"LOCAL","front","dark","light","small",25,"injured","NO",60,"Licensed",60,33.33
122844,8,1,"LOCAL","front","dark","light","small",68,"injured","Yes",70,"Licensed",70,12.50
122860,7,2,"LOCAL","front","dark","light","small",44,"dead","NO",80,"Licensed",60,28.57
122867,5,3,"highway","front","dark","light","small",32,"injured","Yes",40,"Licensed",30,60.00
122874,6,1,"LOCAL","front","light","light","small",24,"injured","NO",35,"Licensed",55,16.67
122875,3,1,"LOCAL","side","light","light","small",63,"injured","NO",65,"Licensed",65,33.33
122891,1,1,"highway","front","dark","light","small",53,"injured","NO",55,"Licensed",40,100.00
122899,2,1,"LOCAL","front","dark","light","small",31,"injured","Yes",45,"Licensed",45,50.00
122904,3,1,"LOCAL","front","light","light","LORRY",25,"injured","NO",70,"Licensed",70,33.33
122906,3,1,"highway","side","dark","light","LORRY",51,"injured","NO",45,"Licensed",45,33.33
122923,5,1,"LOCAL","front","dark","light","small",21,"injured","NO",60,"No Lic",55,20.00
122926,7,1,"LOCAL","rear","light","light","small",33,"injured","NO",50,"Licensed",45,14.29
122935,3,1,"LOCAL","front","dark","light","small",16,"injured","NO",92,"Licensed",55,33.33
122943,3,1,"LOCAL","front","light","light","small",28,"dead","NO",10,"Licensed",45,33.33
122944,4,1,"LOCAL","front","light","light","small",17,"injured","NO",35,"No Lic",35,25.00
122955,2,1,"LOCAL","front","light","light","small",77,"injured","NO",55,"Licensed",55,50.00
122975,3,1,"LOCAL","front","dark","light","small",82,"dead","NO",15,"Licensed",55,33.33
122980,4,1,"highway","front","dark","light","LORRY",58,"injured","Yes",60,"Licensed",45,25.00
122986,2,1,"LOCAL","front","light","mod","small",43,"dead","NO",55,"Licensed",60,50.00
123002,5,1,"LOCAL","front","dark","light","small",20,"injured","Yes",45,"Licensed",45,20.00
123016,2,1,"LOCAL","front","light","light","LORRY",30,"dead","NO",65,"Licensed",45,50.00
123025,2,1,"highway","front","light","light","small",84,"injured","NO",20,"Licensed",30,50.00
123030,3,1,"LOCAL","front","dark","light","small",29,"injured","NO",45,"Licensed",45,33.33
123060,2,1,"LOCAL","front","dark","light","small",21,"injured","NO",65,"Licensed",65,50.00
123061,2,1,"LOCAL","front","dark","light","small",27,"injured","Yes",70,"Licensed",40,50.00
123062,8,1,"highway","front","light","light","small",66,"dead","NO",50,"Licensed",50,12.50
123076,2,1,"highway","front","dark","light","small",34,"injured","NO",30,"Licensed",40,50.00
123092,2,1,"highway","front","light","light","LORRY",20,"dead","NO",50,"Licensed",30,50.00
123107,3,1,"highway","front","light","light","small",87,"injured","NO",10,"Licensed",45,33.33
130260,4,1,"LOCAL","front","dark","light","small",29,"injured","Yes",79,"Licensed",65,25.00
130703,8,1,"LOCAL","front","dark","light","LORRY",31,"dead","NO",100,"Licensed",65,12.50
130841,8,1,"highway","front","light","light","small",59,"injured","NO",60,"Licensed",45,12.50
160009,7,1,"highway","front","light","light","small",83,"dead","NO",35,"Licensed",35,14.29
170087,4,1,"LOCAL","front","dark","light","small",31,"injured","NO",83,"Licensed",65,25.00
170168,2,1,"LOCAL","front","light","light","small",53,"injured","NO",74,"Licensed",55,50.00
170295,3,1,"LOCAL","front","dark","light","small",30,"injured","Yes",60,"Licensed",55,33.33
170633,8,1,"LOCAL","front","dark","mod","small",26,"injured","Yes",74,"Licensed",35,12.50
170720,4,1,"LOCAL","front","light","light","small",36,"injured","NO",48,"Licensed",55,25.00
180211,2,1,"LOCAL","front","dark","light","small",21,"injured","NO",92,"Licensed",70,50.00
180232,2,1,"LOCAL","front","light","light","LORRY",65,"injured","NO",50,"Licensed",55,50.00
180273,7,1,"LOCAL","front","light","light","LORRY",21,"injured","NO",65,"Licensed",65,14.29
190063,4,4,"LOCAL","front","dark","light","small",25,"dead","Yes",102,"Licensed",70,100.00
200087,2,1,"highway","front","dark","sever","small",32,"injured","Yes",80,"Licensed",55,50.00
200210,4,2,"LOCAL","front","dark","light","small",27,"injured","NO",78,"Licensed",75,50.00
210053,4,1,"LOCAL","front","dark","light","small",52,"injured","NO",58,"Licensed",50,25.00
210054,4,1,"LOCAL","front","light","light","small",68,"dead","Yes",53,"Licensed",55,25.00
210059,2,1,"LOCAL","front","light","sever","small",20,"injured","NO",45,"Licensed",55,50.00
210060,9,1,"LOCAL","side","dark","sever","small",28,"dead","NO",75,"Licensed",55,11.11
210071,2,1,"LOCAL","front","light","mod","small",84,"dead","NO",18,"Licensed",35,50.00
210106,3,1,"LOCAL","front","dark","light","small",30,"injured","Yes",60,"Licensed",45,33.33
210112,2,1,"LOCAL","front","light","light","small",88,"dead","NO",55,"Licensed",55,50.00
210138,5,1,"LOCAL","side","light","light","LORRY",34,"injured","NO",53,"Licensed",65,20.00
210183,2,1,"LOCAL","front","light","sever","small",65,"dead","NO",55,"Licensed",55,50.00
210188,4,1,"LOCAL","side","light","light","small",68,"injured","NO",13,"Licensed",98,25.00
210190,2,1,"LOCAL","front","light","light","LORRY",40,"injured","NO",65,"Licensed",65,50.00
210218,2,1,"highway","front","light","light","small",18,"injured","NO",53,"Licensed",35,50.00
210230,2,1,"LOCAL","side","light","light","small",21,"injured","NO",90,"Licensed",70,50.00
210235,3,1,"LOCAL","front","dark","light","small",43,"dead","NO",57,"Licensed",45,33.33
210254,2,1,"LOCAL","side","light","light","LORRY",24,"dead","NO",53,"Licensed",55,50.00
210272,2,1,"LOCAL","front","light","light","small",31,"injured","NO",60,"Licensed",55,50.00
210291,2,1,"LOCAL","front","light","light","small",22,"injured","NO",40,"Licensed",45,50.00
210327,4,1,"LOCAL","front","light","light","small",28,"dead","NO",63,"Licensed",55,25.00
210337,2,1,"highway","front","light","light","small",18,"injured","NO",53,"Licensed",35,50.00
210339,2,1,"LOCAL","front","light","light","LORRY",32,"dead","NO",63,"Licensed",45,50.00
210379,2,1,"LOCAL","front","light","light","LORRY",28,"dead","NO",63,"Licensed",55,50.00
210391,5,1,"LOCAL","front","light","light","small",41,"injured","NO",23,"Licensed",35,20.00
210406,6,1,"LOCAL","front","dark","light","LORRY",46,"dead","NO",25,"No Lic",45,16.67
210450,3,1,"LOCAL","side","light","light","small",18,"injured","NO",43,"Licensed",55,33.33
210463,3,1,"LOCAL","front","dark","light","small",60,"injured","NO",43,"Licensed",45,33.33
210502,2,1,"LOCAL","front","light","light","small",24,"injured","NO",50,"Licensed",55,50.00
210504,2,1,"LOCAL","front","light","light","small",37,"dead","NO",53,"Licensed",55,50.00
210511,2,1,"LOCAL","front","light","mod","small",23,"injured","NO",45,"Licensed",45,50.00
210588,3,1,"LOCAL","front","dark","mod","small",50,"injured","Yes",65,"Licensed",55,33.33
210611,2,1,"LOCAL","front","light","light","small",83,"injured","NO",48,"Licensed",55,50.00
210614,3,2,"LOCAL","front","light","light","small",35,"injured","NO",70,"Licensed",70,66.67
210624,2,1,"LOCAL","front","light","light","small",59,"dead","NO",50,"Licensed",55,50.00
210631,4,1,"LOCAL","front","dark","light","small",34,"injured","Yes",66,"Licensed",55,25.00
210651,2,1,"LOCAL","front","light","light","small",60,"dead","NO",78,"Licensed",70,50.00
210659,2,1,"LOCAL","front","light","light","small",76,"dead","Yes",15,"Licensed",55,50.00
210733,4,1,"LOCAL","front","light","light","small",55,"injured","NO",70,"Licensed",70,25.00
220025,2,1,"LOCAL","front","dark","light","small",28,"dead","NO",55,"Licensed",55,50.00
220029,5,1,"LOCAL","front","dark","light","small",26,"injured","NO",70,"Licensed",70,20.00
220031,3,1,"LOCAL","front","dark","light","small",24,"dead","NO",55,"Licensed",55,33.33
220044,2,1,"LOCAL","front","light","light","small",37,"dead","NO",55,"Licensed",55,50.00
220046,3,3,"LOCAL","front","dark","light","small",22,"dead","Yes",55,"No Lic",55,100.00
220051,4,1,"LOCAL","side","dark","light","small",30,"dead","Yes",80,"Licensed",70,25.00
220072,2,1,"LOCAL","front","light","light","small",29,"injured","NO",55,"Licensed",55,50.00
220079,4,1,"LOCAL","front","light","light","small",25,"injured","Yes",45,"Licensed",45,25.00
220080,7,1,"LOCAL","front","light","light","small",28,"injured","Yes",55,"Licensed",55,14.29
220113,3,2,"LOCAL","front","light","light","small",83,"dead","NO",45,"Licensed",50,66.67
220114,2,1,"LOCAL","front","light","light","small",64,"injured","NO",60,"Licensed",55,50.00
220115,6,1,"LOCAL","side","light","light","small",32,"dead","NO",60,"Licensed",50,16.67
220122,4,1,"LOCAL","front","dark","mod","small",23,"injured","Yes",55,"Licensed",55,25.00
220131,5,2,"LOCAL","front","light","light","small",25,"injured","NO",65,"Licensed",70,40.00
220139,3,1,"LOCAL","front","dark","light","small",38,"injured","NO",55,"Licensed",55,33.33
220140,2,1,"LOCAL","front","dark","light","small",26,"dead","NO",20,"Licensed",99,50.00
220141,8,1,"LOCAL","front","light","light","small",60,"dead","NO",60,"Licensed",55,12.50
220144,3,1,"LOCAL","side","light","light","small",48,"dead","NO",50,"Licensed",40,33.33
220145,2,1,"LOCAL","front","light","light","small",53,"dead","Yes",55,"Licensed",55,50.00
220151,2,1,"LOCAL","front","dark","light","small",20,"dead","NO",55,"Licensed",55,50.00
220157,4,1,"highway","front","light","light","small",27,"injured","NO",60,"Licensed",45,25.00
220183,2,1,"LOCAL","front","light","light","small",63,"injured","NO",62,"Licensed",65,50.00
220201,3,1,"LOCAL","front","light","light","small",40,"dead","NO",53,"Licensed",45,33.33
220247,2,1,"LOCAL","front","light","light","small",22,"injured","Yes",55,"Licensed",45,50.00
220259,10,1,"LOCAL","front","dark","light","small",28,"dead","NO",81,"Licensed",60,10.00
220261,2,1,"LOCAL","front","dark","light","small",19,"dead","NO",55,"No Lic",55,50.00
220262,2,1,"LOCAL","side","light","light","small",19,"dead","NO",55,"Licensed",55,50.00
220278,2,2,"LOCAL","front","dark","light","small",35,"dead","NO",18,"Licensed",55,100.00
220283,6,3,"LOCAL","front","dark","light","small",52,"dead","Yes",147,"Licensed",50,50.00
220286,2,1,"LOCAL","side","light","light","LORRY",51,"dead","NO",35,"Licensed",35,50.00
220299,3,1,"LOCAL","front","light","light","small",22,"injured","NO",71,"Licensed",65,33.33
220307,2,1,"LOCAL","front","dark","light","small",39,"dead","Yes",55,"No Lic",55,50.00
220308,3,1,"LOCAL","front","light","light","LORRY",64,"dead","NO",45,"Licensed",45,33.33
220317,6,1,"LOCAL","front","light","light","small",26,"injured","NO",45,"No Lic",45,16.67
220334,2,1,"LOCAL","side","light","light","small",48,"dead","Yes",45,"Licensed",45,50.00
220339,4,3,"LOCAL","front","light","light","small",28,"dead","Yes",70,"Licensed",55,75.00
220352,4,2,"LOCAL","front","light","light","small",21,"injured","NO",83,"Licensed",55,50.00
220358,2,1,"LOCAL","front","dark","light","LORRY",54,"dead","Yes",45,"Licensed",45,50.00
220371,4,1,"LOCAL","side","light","light","small",43,"injured","NO",60,"Licensed",60,25.00
220378,2,1,"LOCAL","front","dark","mod","small",19,"injured","Yes",75,"Licensed",45,50.00
220397,2,1,"highway","front","dark","light","small",30,"injured","NO",55,"Licensed",50,50.00
220407,3,1,"LOCAL","front","light","light","small",34,"injured","Yes",88,"Licensed",55,33.33
220422,4,1,"LOCAL","front","light","light","small",23,"injured","NO",65,"Licensed",55,25.00
220426,2,1,"LOCAL","front","light","light","small",29,"dead","NO",55,"Licensed",55,50.00
220436,3,1,"highway","front","dark","light","small",20,"injured","NO",65,"No Lic",35,33.33
220448,6,1,"LOCAL","front","light","light","small",17,"injured","NO",55,"Licensed",55,16.67
220450,2,1,"LOCAL","side","light","mod","small",28,"dead","NO",95,"Licensed",70,50.00
220451,2,1,"LOCAL","front","dark","light","small",23,"dead","NO",65,"Licensed",55,50.00
220453,6,1,"LOCAL","front","light","light","small",66,"injured","NO",87,"Licensed",55,16.67
220454,3,1,"LOCAL","front","light","light","small",23,"injured","NO",72,"Licensed",60,33.33
220455,41,3,"LOCAL","side","light","light","BUS",37,"injured","NO",60,"No Lic",70,7.32
220462,2,1,"LOCAL","side","dark","light","small",22,"dead","Yes",55,"Licensed",55,50.00
220465,3,1,"LOCAL","front","dark","light","small",43,"dead","Yes",75,"Licensed",65,33.33
220478,10,1,"LOCAL","front","light","light","LORRY",47,"injured","NO",70,"Licensed",70,10.00
220479,3,2,"LOCAL","front","light","light","small",35,"dead","Yes",55,"Licensed",55,66.67
220481,4,1,"LOCAL","front","dark","light","LORRY",71,"dead","NO",50,"Licensed",55,25.00
220486,2,1,"LOCAL","front","light","light","small",30,"dead","NO",55,"Licensed",55,50.00
220487,2,1,"LOCAL","front","light","light","small",68,"dead","NO",25,"Licensed",45,50.00
220504,2,1,"LOCAL","front","dark","light","small",36,"injured","NO",56,"Licensed",55,50.00
220513,3,1,"LOCAL","front","light","light","small",22,"injured","NO",55,"Licensed",55,33.33
220515,8,1,"LOCAL","front","light","light","small",42,"injured","NO",72,"Licensed",55,12.50
220541,3,1,"LOCAL","front","dark","light","small",52,"dead","NO",70,"Licensed",70,33.33
220545,2,2,"LOCAL","front","light","light","small",26,"dead","NO",60,"Licensed",55,100.00
220547,3,1,"LOCAL","front","dark","light","small",35,"injured","Yes",40,"Licensed",55,33.33
220551,2,1,"LOCAL","front","light","light","small",42,"injured","NO",75,"Licensed",70,50.00
220553,3,1,"LOCAL","front","dark","mod","small",39,"injured","Yes",75,"Licensed",55,33.33
220559,8,1,"LOCAL","side","light","light","small",25,"injured","NO",70,"Licensed",55,12.50
220561,3,1,"LOCAL","front","light","light","small",32,"injured","NO",51,"Licensed",55,33.33
220563,5,1,"LOCAL","front","light","mod","small",66,"injured","NO",70,"Licensed",70,20.00
220566,2,1,"LOCAL","front","dark","mod","small",31,"injured","Yes",55,"No Lic",55,50.00
220568,5,1,"LOCAL","front","dark","light","small",51,"dead","NO",81,"Licensed",70,20.00
220571,2,2,"LOCAL","front","dark","light","small",22,"dead","Yes",65,"Licensed",65,100.00
220590,5,1,"LOCAL","front","dark","light","small",55,"dead","Yes",70,"Licensed",70,20.00
220596,2,1,"LOCAL","front","light","light","LORRY",36,"injured","NO",55,"Licensed",55,50.00
220598,2,1,"LOCAL","front","light","light","small",77,"injured","NO",50,"Licensed",50,50.00
220612,2,1,"highway","front","dark","light","small",62,"dead","Yes",55,"Licensed",45,50.00
220621,2,1,"LOCAL","side","light","light","small",45,"injured","NO",70,"Licensed",70,50.00
220623,6,1,"LOCAL","front","dark","light","small",35,"injured","NO",80,"Licensed",70,16.67
220638,3,1,"LOCAL","front","light","light","small",51,"dead","Yes",60,"Licensed",40,33.33
220646,3,1,"LOCAL","front","dark","light","small",35,"dead","NO",55,"Licensed",55,33.33
220683,2,1,"LOCAL","front","dark","light","small",54,"dead","Yes",50,"Licensed",50,50.00
220688,7,1,"LOCAL","front","dark","light","small",25,"injured","Yes",84,"Licensed",55,14.29
220695,5,2,"LOCAL","front","dark","light","small",21,"injured","NO",45,"Licensed",45,40.00
220707,2,1,"LOCAL","front","light","mod","small",30,"injured","NO",10,"Licensed",35,50.00
230117,5,1,"LOCAL","front","dark","light","small",67,"dead","NO",45,"Licensed",45,20.00
230128,4,1,"LOCAL","front","dark","light","small",24,"injured","Yes",45,"Licensed",45,25.00
230131,3,1,"LOCAL","front","dark","light","small",27,"injured","NO",35,"Licensed",35,33.33
230132,3,1,"LOCAL","front","light","light","small",28,"injured","NO",50,"Licensed",50,33.33
230144,4,1,"LOCAL","front","dark","light","small",28,"injured","NO",35,"Licensed",35,25.00
250040,3,1,"LOCAL","front","dark","light","small",55,"injured","NO",39,"Licensed",55,33.33
270007,3,2,"highway","front","light","light","small",73,"dead","NO",55,"Licensed",55,66.67
270011,5,1,"LOCAL","front","light","light","small",24,"injured","NO",70,"Licensed",70,20.00
270047,2,1,"LOCAL","front","light","light","small",70,"dead","NO",55,"Licensed",55,50.00
270074,4,1,"highway","side","light","sever","LORRY",66,"dead","NO",55,"Licensed",55,25.00
270095,2,1,"LOCAL","front","dark","light","small",30,"dead","Yes",55,"Licensed",55,50.00
270129,2,1,"highway","side","light","light","LORRY",31,"dead","NO",40,"No Lic",45,50.00
270206,2,1,"highway","front","light","light","LORRY",41,"injured","NO",55,"Licensed",55,50.00
270225,2,1,"highway","front","light","light","LORRY",57,"injured","NO",5,"Licensed",45,50.00
270235,6,1,"highway","front","light","light","small",42,"dead","NO",50,"Licensed",50,16.67
270249,7,1,"LOCAL","front","light","light","small",74,"dead","NO",55,"Licensed",60,14.29
270286,3,1,"LOCAL","front","dark","light","small",26,"dead","Yes",55,"Licensed",55,33.33
270307,2,1,"highway","front","light","light","small",83,"dead","NO",55,"Licensed",55,50.00
270350,2,1,"LOCAL","front","light","light","small",46,"dead","Yes",60,"No Lic",60,50.00
270353,4,1,"highway","front","light","light","small",87,"dead","NO",45,"Licensed",55,25.00
270359,3,1,"LOCAL","front","light","sever","small",73,"injured","NO",60,"Licensed",60,33.33
290001,2,1,"LOCAL","front","light","light","small",66,"injured","NO",34,"Licensed",45,50.00
290012,2,1,"LOCAL","front","dark","light","small",50,"dead","NO",76,"Licensed",70,50.00
290015,2,1,"LOCAL","front","light","mod","small",19,"dead","NO",65,"Licensed",55,50.00
290027,2,1,"LOCAL","front","light","light","small",59,"injured","NO",45,"Licensed",50,50.00
290044,2,2,"LOCAL","front","dark","light","small",38,"dead","Yes",49,"Licensed",70,100.00
290062,2,1,"LOCAL","front","dark","light","small",18,"dead","NO",57,"Licensed",60,50.00
290079,2,1,"LOCAL","front","dark","light","small",29,"injured","NO",46,"Licensed",55,50.00
290123,7,1,"LOCAL","front","light","light","small",31,"injured","NO",70,"Licensed",65,14.29
290140,3,1,"highway","front","light","light","small",45,"injured","Yes",77,"Licensed",30,33.33
290153,2,1,"LOCAL","front","light","light","small",67,"injured","Yes",64,"Licensed",65,50.00
290227,4,2,"LOCAL","front","light","light","small",86,"dead","NO",4,"Licensed",65,50.00
290261,5,1,"LOCAL","front","light","light","LORRY",34,"injured","NO",63,"Licensed",70,20.00
290268,3,2,"LOCAL","front","dark","light","LORRY",24,"injured","Yes",90,"Licensed",55,66.67
290290,2,1,"LOCAL","front","light","light","LORRY",25,"dead","NO",39,"Licensed",60,50.00
290308,4,2,"LOCAL","front","dark","light","small",62,"injured","Yes",45,"Licensed",70,50.00
290312,2,1,"LOCAL","front","light","light","small",62,"dead","NO",62,"Licensed",70,50.00
290351,2,1,"LOCAL","front","light","light","LORRY",61,"injured","NO",57,"Licensed",55,50.00
290378,4,1,"LOCAL","front","light","light","small",89,"dead","NO",2,"Licensed",60,25.00
290464,3,1,"LOCAL","front","light","light","small",36,"dead","NO",44,"Licensed",55,33.33
290473,3,1,"LOCAL","front","light","light","small",61,"injured","NO",38,"Licensed",40,33.33
290486,2,1,"LOCAL","front","dark","light","small",27,"injured","Yes",79,"Licensed",60,50.00
290526,2,2,"LOCAL","front","light","light","small",48,"dead","NO",52,"Licensed",55,100.00
290527,3,1,"LOCAL","front","light","mod","small",56,"injured","NO",47,"Licensed",45,33.33
290539,3,1,"LOCAL","front","dark","light","small",26,"dead","Yes",94,"Licensed",55,33.33
290552,4,1,"LOCAL","front","light","light","small",31,"injured","NO",48,"Licensed",55,25.00
290554,8,2,"LOCAL","front","dark","light","small",60,"injured","Yes",71,"Licensed",65,25.00
290608,4,1,"LOCAL","front","dark","light","small",70,"injured","NO",71,"Licensed",65,25.00
290610,2,1,"LOCAL","front","light","light","small",59,"dead","NO",94,"Licensed",65,50.00
290618,2,1,"LOCAL","front","light","light","LORRY",59,"injured","NO",38,"Licensed",55,50.00
290711,5,1,"LOCAL","front","light","light","small",34,"injured","NO",75,"Licensed",65,20.00
290732,2,1,"LOCAL","front","dark","light","small",67,"dead","NO",60,"Licensed",55,50.00
290736,2,1,"LOCAL","front","dark","light","small",56,"injured","Yes",29,"Licensed",55,50.00
290766,2,1,"LOCAL","front","light","light","small",53,"injured","NO",62,"Licensed",65,50.00
290826,2,1,"LOCAL","front","dark","light","small",37,"injured","Yes",88,"Licensed",70,50.00
290833,5,1,"highway","front","light","light","small",38,"injured","Yes",73,"Licensed",45,20.00
290871,2,1,"LOCAL","front","dark","light","small",40,"dead","Yes",25,"Licensed",65,50.00
320001,2,1,"LOCAL","front","dark","light","small",43,"dead","NO",115,"Licensed",75,50.00
320015,2,1,"LOCAL","side","light","light","small",51,"dead","Yes",60,"Licensed",65,50.00
