"ST_CASE","PERSONS","FATALS","ROUTE","MAN_COLL","LGT_COND","WEATHERlight","BODY_TYP","AGE","INJ_SEV","DRINKING","TRAV_SP","L_TYPE","VSPD_LIM","fata_rate"
120779,3,1,"LOCAL","front","dark","light","small",24,"injured","NO",55,"Licensed",55,33.33
120784,2,1,"LOCAL","front","dark","light","small",53,"injured","Yes",55,"Licensed",45,50.00
120794,5,1,"highway","front","light","light","small",34,"injured","NO",50,"Licensed",45,20.00
120804,3,1,"LOCAL","front","light","light","LORRY",55,"dead","NO",35,"Licensed",60,33.33
120807,9,1,"LOCAL","front","dark","light","LORRY",28,"injured","NO",60,"Licensed",60,11.11
120810,6,1,"LOCAL","front","light","light","small",24,"injured","NO",25,"Licensed",70,16.67
120821,3,1,"LOCAL","side","dark","light","small",36,"dead","Yes",45,"Licensed",50,33.33
120823,2,1,"LOCAL","side","light","light","small",41,"dead","NO",60,"Licensed",60,50.00
120827,2,1,"LOCAL","front","dark","light","small",27,"injured","Yes",50,"Licensed",50,50.00
120837,2,1,"LOCAL","front","dark","light","small",35,"injured","NO",55,"Licensed",55,50.00
120842,3,1,"LOCAL","front","dark","light","small",43,"injured","Yes",15,"Licensed",70,33.33
120850,2,1,"LOCAL","front","light","light","small",79,"dead","NO",50,"Licensed",60,50.00
120853,2,1,"highway","front","light","light","small",29,"injured","NO",45,"Licensed",45,50.00
120854,3,1,"LOCAL","front","dark","light","small",26,"injured","Yes",69,"Licensed",45,33.33
120860,2,1,"highway","front","light","light","small",48,"dead","NO",50,"Licensed",55,50.00
120862,3,1,"LOCAL","front","light","light","small",77,"dead","NO",45,"Licensed",45,33.33
120864,2,1,"highway","front","dark","light","small",65,"dead","NO",30,"Licensed",30,50.00
120872,2,1,"LOCAL","front","dark","light","small",67,"dead","NO",85,"Licensed",70,50.00
120878,2,1,"LOCAL","front","dark","light","small",31,"dead","Yes",55,"Licensed",55,50.00
120885,5,1,"LOCAL","front","dark","light","small",37,"injured","Yes",45,"Licensed",50,20.00
120893,9,1,"LOCAL","front","dark","light","small",49,"injured","NO",25,"Licensed",45,11.11
120899,2,1,"highway","front","light","light","small",73,"dead","NO",25,"Licensed",45,50.00
120905,2,1,"LOCAL","front","light","light","small",45,"dead","Yes",55,"Licensed",50,50.00
120906,2,1,"LOCAL","front","light","light","small",50,"dead","NO",50,"Licensed",50,50.00
120922,2,1,"LOCAL","front","dark","light","small",50,"dead","NO",60,"Licensed",60,50.00
120928,2,1,"highway","front","dark","light","small",44,"injured","NO",1,"Licensed",30,50.00
120932,3,1,"highway","front","light","light","small",22,"injured","NO",5,"Licensed",45,33.33
120948,2,1,"LOCAL","front","light","light","LORRY",65,"dead","NO",35,"Licensed",45,50.00
120952,2,1,"highway","front","light","light","small",26,"dead","NO",60,"Licensed",45,50.00
120963,2,1,"LOCAL","front","light","light","small",62,"injured","Yes",20,"Licensed",55,50.00
120964,3,1,"LOCAL","front","light","light","small",34,"dead","NO",55,"Licensed",55,33.33
120968,2,2,"highway","front","light","light","small",27,"dead","Yes",70,"No Lic",45,100.00
120970,3,1,"LOCAL","front","dark","light","small",40,"dead","Yes",60,"Licensed",60,33.33
120972,7,1,"LOCAL","front","dark","light","LORRY",42,"dead","NO",55,"Licensed",55,14.29
120974,3,1,"LOCAL","front","dark","light","LORRY",23,"dead","NO",55,"Licensed",55,33.33
120976,10,1,"LOCAL","front","light","light","small",24,"injured","Yes",57,"Licensed",45,10.00
120977,2,1,"LOCAL","front","dark","light","LORRY",22,"dead","NO",70,"Licensed",65,50.00
120983,4,1,"highway","front","dark","light","small",44,"injured","NO",60,"Licensed",45,25.00
120998,4,2,"LOCAL","front","light","light","LORRY",56,"injured","NO",60,"Licensed",60,50.00
120999,2,1,"LOCAL","front","dark","light","LORRY",18,"dead","NO",5,"No Lic",45,50.00
121004,7,1,"LOCAL","front","light","light","LORRY",54,"dead","NO",35,"Licensed",55,14.29
121007,2,1,"LOCAL","front","dark","light","small",23,"injured","Yes",55,"No Lic",55,50.00
121011,2,1,"highway","front","light","light","small",89,"dead","NO",35,"Licensed",35,50.00
121029,2,1,"LOCAL","front","dark","light","small",27,"injured","NO",65,"Licensed",65,50.00
121034,2,1,"LOCAL","front","light","light","small",20,"injured","NO",10,"Licensed",45,50.00
121038,2,1,"LOCAL","front","dark","light","small",65,"dead","Yes",55,"Licensed",55,50.00
121039,4,1,"highway","front","dark","light","small",30,"injured","NO",55,"Licensed",55,25.00
